jméno,pravda,nepravda,zavádějící,neověřitelné,míra nepravdivosti
Martin Stropnický,60,5,7,17,0.056179775280898875
Martin Zrzavecký,3,0,1,3,0.0
Martin Štěpánek,3,0,3,1,0.0
Matěj Fichtner,0,0,0,1,0.0
Matěj Hollan,7,0,0,0,0.0
Matěj Stropnický,18,3,4,2,0.1111111111111111
Michaela Jílková,5,0,0,1,0.0
Michaela Marksová,22,1,1,6,0.03333333333333333
Michal Babák,7,2,2,2,0.15384615384615385
Michal Doktor,0,0,0,0,0.0
Michal Hašek,48,9,12,15,0.10714285714285714
Michal Horáček,4,3,0,1,0.375
Michal Kasal,1,1,0,0,0.5
Mikuláš Ferjenčík,1,0,0,0,0.0
Milada Emmerová,0,0,0,0,0.0
Milan Cabrnoch,2,0,0,0,0.0
Milan Chovanec,91,24,18,27,0.15
Milan Feranec,2,0,0,1,0.0
Milan Plodík,5,2,0,1,0.25
Milan Urban,8,3,1,2,0.21428571428571427
Milan Šarapatka,0,1,0,0,1.0
Milan Štěch,26,2,2,3,0.06060606060606061
Miloslav Ludvík,3,2,0,6,0.18181818181818182
Miloslav Plass,7,0,2,1,0.0
Miloslav Ransdorf,18,11,1,9,0.28205128205128205
Miloslava Vostrá,7,2,1,0,0.2
Milouš Jakeš,0,0,0,0,0.0
Miloš Vystrčil,4,2,0,1,0.2857142857142857
Miloš Zeman,233,86,38,54,0.20924574209245742
Mirek Topolánek,0,0,0,0,0.0
Miroslav Adámek,2,2,1,3,0.25
Miroslav Antl,1,0,0,0,0.0
Miroslav Grebeníček,0,0,0,0,0.0
Miroslav Kalousek,253,60,31,64,0.14705882352941177
Miroslav Novák,30,4,3,8,0.08888888888888889
Miroslav Opálka,2,1,0,0,0.3333333333333333
Miroslav Ouzký,0,0,0,0,0.0
Miroslav Poche,1,1,3,1,0.16666666666666666
Miroslav Rovenský,3,0,0,1,0.0
Miroslav Tancoš,2,1,0,2,0.2
Miroslav Toman,3,0,1,1,0.0
Miroslav Váňa,0,0,0,0,0.0
Miroslav Zámečník,4,2,1,1,0.25
Miroslava Němcová,53,7,8,10,0.08974358974358974
Miroslava Strnadlová,0,0,0,0,0.0
Nigel Farage,14,1,5,3,0.043478260869565216
Oldřich Bubeníček,6,0,0,2,0.0
Oldřich Vlasák,33,8,1,3,0.17777777777777778
Olga Sehnalová,0,0,0,0,0.0
Ondřej Liška,26,3,2,8,0.07692307692307693
Ondřej Ženíšek,2,0,0,1,0.0
Ota Benc,3,1,0,0,0.25
Otakar Ruml,3,0,0,0,0.0
Otto Chaloupka,0,0,0,0,0.0
Pavel Blažek,44,8,8,8,0.11764705882352941
Pavel Botek,1,0,1,1,0.0
Pavel Bém,7,1,2,1,0.09090909090909091
Pavel Bělobrádek,78,7,5,21,0.06306306306306306
Pavel Dobeš,10,1,1,6,0.05555555555555555
Pavel Grasse,3,0,0,0,0.0
Pavel Hroch,1,1,0,2,0.25
Pavel Jetenský,4,3,0,2,0.3333333333333333
Pavel Kováčik,24,8,7,6,0.17777777777777778
Pavel Poc,5,0,0,0,0.0
Pavel Suchánek,5,2,1,3,0.18181818181818182
Pavel Svoboda,6,1,0,2,0.1111111111111111
Pavel Talíř,2,1,1,0,0.25
Pavel Telička,18,3,1,3,0.12
Pavel Čížek,1,1,1,1,0.25
Pavel Šrámek,1,1,0,3,0.2
Pavel Žáček,4,0,0,0,0.0
Pavla Brady,5,0,0,0,0.0
Pavlína Nytrová,0,0,0,0,0.0
Pavol Lukša,3,0,0,1,0.0
Petr Bendl,24,3,4,10,0.07317073170731707
Petr Braný,0,0,0,0,0.0
Petr Cibulka,0,0,0,0,0.0
Petr Fiala,126,14,19,20,0.0782122905027933
