Tomáš Vandas;2;2;2;0;0.3333333333333333
Josef Babka;5;4;0;0;0.4444444444444444
Bohuslav Svoboda;19;6;5;6;0.16666666666666666
Jaroslav Faltýnek;46;24;10;11;0.26373626373626374
Milan Plodík;5;2;0;1;0.25
Tomáš Macura;2;0;1;3;0.0
Stanislav Mišák;2;3;0;1;0.5
Ladislav  Šnevajs;2;0;1;0;0.0
Milan Štěch;26;2;2;3;0.06060606060606061
Michal Hašek;48;9;12;15;0.10714285714285714
Zdeněk Ondráček;5;0;1;2;0.0
Vladimír Bärtl;0;0;1;0;0.0
Hynek Kmoníček;0;0;0;0;0.0
Helena Langšádlová;14;1;1;2;0.05555555555555555
Jiří Maštálka;0;0;0;0;0.0
Jeroným Tejc;37;6;6;9;0.10344827586206896
Michal Doktor;0;0;0;0;0.0
Andrej Babiš;229;78;73;115;0.15757575757575756
Jiří Kočandrle;5;0;0;2;0.0
Nigel Farage;14;1;5;3;0.043478260869565216
Jiří Zimola;13;5;4;5;0.18518518518518517
Klára Liptáková;3;0;1;1;0.0
Jitka  Volfová;3;1;0;0;0.25
Karola Haasová;1;0;0;0;0.0
Petr Gazdík;25;2;6;5;0.05263157894736842
Lenka  Bártlová;2;0;1;0;0.0
Ivo Přichystal;0;0;0;0;0.0
Tomáš Jirsa;8;1;1;4;0.07142857142857142
Jiří Pospíšil;74;15;13;18;0.125
Vít Jedlička;2;3;3;1;0.3333333333333333
Vlastislav Navrátil;1;1;0;0;0.5
Petr Skokan;0;0;1;1;0.0
Ladislav  Velebný;4;0;0;0;0.0
Lumír  Palyza;1;0;1;2;0.0
Uprchlická krize;0;0;0;0;0.0
Jiří  Mihola;1;0;0;0;0.0
Anna Putnová;2;0;0;0;0.0
Miloslav Ransdorf;18;11;1;9;0.28205128205128205
Marcel Chládek;8;0;0;3;0.0
Antonín Seďa;1;1;0;0;0.5
Ludmila Müllerová;22;3;1;4;0.1
Matěj Fichtner;0;0;0;1;0.0
Miroslav Kalousek;253;60;31;64;0.14705882352941177
Jaroslav Zavadil;4;3;1;0;0.375
Jiří Běhounek;12;3;1;4;0.15
Jaroslav Zedník;3;2;0;0;0.4
Jan Chvojka;6;0;3;1;0.0
Jaroslav Borka;6;1;1;1;0.1111111111111111
Marek Pieter;6;4;0;0;0.4
Václav Votava;0;0;0;0;0.0
Petr Tupec;5;2;0;0;0.2857142857142857
Adam Rykala;2;0;0;0;0.0
Tomáš Kladívko;1;2;0;1;0.5
František Bublan;8;3;0;5;0.1875
Jan Pijáček;4;0;1;2;0.0
Tomáš Podivínský;0;0;0;0;0.0
Otto Chaloupka;0;0;0;0;0.0
Radim Špaček;4;0;0;0;0.0
Jiří Rozbořil;3;0;1;1;0.0
František Gábor;1;1;0;1;0.3333333333333333
Martin Juroška;3;1;0;0;0.25
Lubomír Nečas;1;1;0;1;0.3333333333333333
Václav Klučka;0;0;0;0;0.0
Miroslav Poche;1;1;3;1;0.16666666666666666
Miloš Zeman;233;86;38;54;0.20924574209245742
Bohumil Trávník;6;0;0;1;0.0
Boris Šťastný;5;1;1;0;0.14285714285714285
Ota Benc;3;1;0;0;0.25
Jana Černochová;7;4;3;2;0.25
Jaromír Drábek;55;13;5;16;0.14606741573033707
Jan Veleba;4;2;0;1;0.2857142857142857
Václav Moravec;24;0;1;1;0.0
Eva Bartoňová;2;0;0;0;0.0
Jan Slámečka;5;1;0;1;0.14285714285714285
Karla Šlechtová;24;4;2;4;0.11764705882352941
Jan Zahradník;4;2;0;1;0.2857142857142857
Miroslav Opálka;2;1;0;0;0.3333333333333333
Jana Zwyrtek Hamplová;4;0;0;0;0.0
Josef  Řihák;4;2;3;1;0.2
Michaela Jílková;5;0;0;1;0.0
Markéta Záleská;2;0;1;0;0.0
Zbyněk Stanjura;57;5;1;4;0.07462686567164178
Miloš Vystrčil;4;2;0;1;0.2857142857142857
Pavel Poc;5;0;0;0;0.0
Kamil Jankovský;1;0;0;5;0.0
Jan  Březina;1;0;0;0;0.0
Jiří Zelenka;0;0;0;0;0.0
Marek Benda;4;1;1;0;0.16666666666666666
Michaela Marksová;22;1;1;6;0.03333333333333333
Jiří Dienstbier;96;8;6;8;0.06779661016949153
František Novosad;0;0;0;0;0.0
Hana Horská;1;0;0;2;0.0
Martin Piperek;1;0;0;0;0.0
John F. Kennedy;0;0;0;0;0.0
Jiří Payne;1;2;0;0;0.6666666666666666
Bohumil  Šimek;5;1;0;0;0.16666666666666666
Luděk Niedermayer;30;2;4;2;0.05263157894736842
Hynek Fajmon;9;1;1;0;0.09090909090909091
Zuzana Brzobohatá;0;0;0;0;0.0
Jan Zahradil;50;3;6;2;0.04918032786885246
Miroslav  Zámečník;4;2;1;1;0.25
Lubomír Zaorálek;118;19;12;28;0.10734463276836158
Václav Láska;4;0;0;1;0.0
Pavel Šrámek;1;1;0;3;0.2
Jiří  Janeček;0;0;0;0;0.0
Petr Robejšek;0;0;0;0;0.0
Jiří  Vyvadil;0;0;0;0;0.0
Ivan Bartoš;37;5;5;2;0.10204081632653061
Jan Horník;3;1;0;2;0.16666666666666666
Jana Vaňhová;7;1;1;4;0.07692307692307693
Tomáš Chalupa;9;0;2;3;0.0
Helena Válková;1;2;1;2;0.3333333333333333
Jan  Mládek;27;4;4;6;0.0975609756097561
Jaroslava Pokorná Jermanová;6;3;1;3;0.23076923076923078
Edvard Kožušník;0;0;0;0;0.0
Petr Holeček;0;0;0;0;0.0
Petr Štěpánek;5;0;0;2;0.0
Martin Štěpánek;3;0;3;1;0.0
ANO Politické hnutí ;0;0;0;0;0.0
Zdeněk Papoušek;2;0;1;1;0.0
Jakub Michálek;6;2;2;0;0.2
Jaromír Kalina;4;0;0;3;0.0
Petr Šindelář;2;0;1;0;0.0
Karel Schwarzenberg;125;7;8;17;0.044585987261146494
Martin Netolický;9;0;0;2;0.0
Aleš Jakubec;4;2;0;1;0.2857142857142857
Stanislav Polčák;29;3;0;3;0.08571428571428572
Antonín Staněk;1;1;0;2;0.25
Radim Fiala;2;2;1;0;0.4
Václav Zemek;0;0;0;0;0.0
Marie Benešová;1;0;0;0;0.0
Martin  Marek;3;1;0;0;0.25
Petr  Náhlík;4;0;3;2;0.0
Vojtěch Filip;80;34;26;15;0.21935483870967742
Vlasta Bohdalová;1;0;0;0;0.0
Jana Drápalová;0;0;0;0;0.0
Jan Keller;12;1;0;0;0.07692307692307693
Jiří Dolejš;15;1;1;0;0.058823529411764705
Ivo Pojezný;2;1;0;1;0.25
Miroslav Toman;3;0;1;1;0.0
Petr Mach;38;8;10;3;0.13559322033898305
Milan Cabrnoch;2;0;0;0;0.0
Miroslava Němcová;53;7;8;10;0.08974358974358974
Vladimír  Duchek;3;1;1;0;0.2
Michal Horáček;4;3;0;1;0.375
Ladislav Šincl;0;0;0;0;0.0
Ivan Ohlídal;4;0;0;0;0.0
Miroslava Strnadlová;0;0;0;0;0.0
Komunistická strana Čech a Moravy;0;0;0;0;0.0
Ivan Mařák;9;2;0;2;0.15384615384615385
Radek John;27;4;3;9;0.09302325581395349
Jaroslav Kacer;1;0;0;0;0.0
Jan Vitula;4;4;0;3;0.36363636363636365
Tomáš Hudeček;14;4;2;3;0.17391304347826086
Jiří Petrů;1;0;0;0;0.0
Václav Klaus;0;0;0;0;0.0
František  Lukl;0;0;0;0;0.0
Jan Korytář;11;0;0;1;0.0
Zuzana Kocumová;6;0;1;3;0.0
Martin Baxa;3;1;0;0;0.25
Luboš Průša;8;1;0;2;0.09090909090909091
Jiří Čunek;15;2;0;1;0.1111111111111111
Tomio Okamura;102;62;46;26;0.2627118644067797
Pavel Bělobrádek;78;7;5;21;0.06306306306306306
Antonín Prachař;6;0;1;0;0.0
Michal Babák;7;2;2;2;0.15384615384615385
Leoš Heger;46;6;3;18;0.0821917808219178
Marek Poledníček;2;1;0;1;0.25
09 TOP;0;0;0;0;0.0
Rudolf Cogan;4;1;0;1;0.16666666666666666
Zakaría Nemrah;0;1;0;0;1.0
Miroslav  Rovenský;3;0;0;1;0.0
David Sventek;6;1;1;1;0.1111111111111111
Eliška Wagnerová;13;2;0;1;0.125
Ludvík Adámek;5;1;0;0;0.16666666666666666
Pavel Svoboda;6;1;0;2;0.1111111111111111
Vít Bárta;22;12;7;12;0.22641509433962265
Jaromír Baxa;6;0;0;0;0.0
Vít Kaňkovský;4;0;1;0;0.0
Lenka Kadlecová;6;1;1;0;0.125
Martin Zrzavecký;3;0;1;3;0.0
Jiří Hůlka;0;0;0;0;0.0
Marian Jurečka;57;2;6;19;0.023809523809523808
Marek Ženíšek;9;0;0;1;0.0
Bohuslav Borovanský;0;0;0;1;0.0
Gabriela Pecková;0;0;0;1;0.0
Kateřina Valachová;26;6;3;9;0.13636363636363635
Martin Konvička;5;6;4;4;0.3157894736842105
Alexandra  Udženija;17;6;6;3;0.1875
Josef Hora;1;0;0;0;0.0
Pavel Botek;1;0;1;1;0.0
Lidie  Vajnerová;1;0;2;0;0.0
Vladimíra Lesenská;0;1;0;0;1.0
Libor Lukáš;4;0;0;2;0.0
Alexander Černý;0;0;1;0;0.0
Martin Holcát;1;0;0;0;0.0
Jaroslav  Klaška;1;0;1;0;0.0
Vladimír Špidla;1;0;0;0;0.0
Jaroslav Foldyna;0;0;0;0;0.0
Milan Chovanec;91;24;18;27;0.15
Roman Celý;2;5;1;1;0.5555555555555556
Jan Kohout;6;0;1;2;0.0
Pavel Dobeš;10;1;1;6;0.05555555555555555
Ivan Langer;6;2;0;4;0.16666666666666666
Martin Schubert;4;0;0;0;0.0
Zdeněk Schwarz;1;2;1;2;0.3333333333333333
Rostislav Senjuk;9;1;1;1;0.08333333333333333
Alexandr Vondra;8;1;1;0;0.1
Miloslava Vostrá;7;2;1;0;0.2
Milan Urban;8;3;1;2;0.21428571428571427
Štefan Füle;9;0;0;1;0.0
Karel Šidlo;3;4;0;1;0.5
Rostislav Vyzula;3;0;2;1;0.0
Haló noviny;3;4;2;1;0.4
Dita Charanzová;10;1;1;4;0.0625
Jiří Zlatuška;6;1;0;0;0.14285714285714285
Otakar Ruml;3;0;0;0;0.0
Kateřina Konečná;26;11;10;6;0.20754716981132076
Václav Srb;0;0;0;0;0.0
Jiří Rusnok;49;4;1;7;0.06557377049180328
Milan Feranec;2;0;0;1;0.0
Soňa Marková;13;4;0;3;0.2
Dan Ramzer;3;1;0;1;0.2
Václav Hampl;2;1;0;0;0.3333333333333333
Milada  Emmerová;0;0;0;0;0.0
Oldřich Vlasák;33;8;1;3;0.17777777777777778
Petr Bendl;24;3;4;10;0.07317073170731707
Alena Gajdůšková;0;1;0;0;1.0
Zuzana Roithová;43;6;6;18;0.0821917808219178
Jan Bartošek;18;1;2;6;0.037037037037037035
Liana Janáčková;1;1;0;1;0.3333333333333333
Mikuláš Ferjenčík;1;0;0;0;0.0
Miroslav Novák;30;4;3;8;0.08888888888888889
Daniel Herman;14;0;1;2;0.0
Jiří Crha;10;3;0;0;0.23076923076923078
Stanislav Gross;0;0;0;0;0.0
Miloslav Ludvík;3;2;0;6;0.18181818181818182
Robert Pelikán;33;1;3;6;0.023255813953488372
Matěj Stropnický;18;3;4;2;0.1111111111111111
Jiří Švec;3;1;1;0;0.2
Jiří Čáslavka;9;0;1;0;0.0
Jakub Mráček;4;0;0;0;0.0
Olga Sehnalová;0;0;0;0;0.0
Pavla Brady;5;0;0;0;0.0
Jitka Seitlová;3;1;1;2;0.14285714285714285
Anna Hubáčková;1;2;0;0;0.6666666666666666
Jiří  Domlátil;1;1;1;0;0.3333333333333333
Vladimír Stehlík;2;2;0;6;0.2
Evžen Tošenovský;7;0;1;2;0.0
Petr Fiala;126;14;19;20;0.0782122905027933
Zdeněk Kopecký;4;1;0;1;0.16666666666666666
Miroslav Váňa;0;0;0;0;0.0
Roman Sklenák;0;0;0;0;0.0
Libor Rouček;8;1;0;2;0.09090909090909091
Martin Půta;19;2;1;4;0.07692307692307693
Petr Hannig;7;3;2;2;0.21428571428571427
Zdeněk Soukup;3;4;1;3;0.36363636363636365
Petr Šimůnek;3;2;0;0;0.4
Pavel Telička;18;3;1;3;0.12
Jana Volfová;0;0;0;0;0.0
Martin Stropnický;60;5;7;17;0.056179775280898875
Martin Kuba;23;4;1;7;0.11428571428571428
Vladimír Dlouhý;17;0;1;2;0.0
Lukáš Vlček;1;1;0;0;0.5
Robert Fico;13;1;0;1;0.06666666666666667
Dana Váhalová;3;0;0;0;0.0
Zdeňka Hamousová;1;0;0;1;0.0
Lukáš Černohorský;4;1;0;0;0.2
Daniel Lipšic;0;0;0;0;0.0
Václav Mencl;2;0;1;0;0.0
Ondřej Liška;26;3;2;8;0.07692307692307693
Lenka Kohoutová;11;0;1;0;0.0
Karolína Peake;40;5;3;6;0.09259259259259259
Jan Hamáček;1;0;0;0;0.0
Pavel Kováčik;24;8;7;6;0.17777777777777778
Mirek Topolánek;0;0;0;0;0.0
Zdeněk Dvořák;2;1;0;0;0.3333333333333333
Jan Látka;1;0;1;0;0.0
Zdeněk Žák;17;5;5;13;0.125
Martin Komárek;11;2;1;1;0.13333333333333333
Zoznam politikov;0;0;0;0;0.0
Marta Semelová;10;2;2;1;0.13333333333333333
Ladislav Kos;3;1;0;1;0.2
Zdeněk Bezecný;7;1;1;0;0.1111111111111111
Jan Farský;0;0;0;0;0.0
Petr  Nečas;121;18;9;24;0.10465116279069768
Jaroslav Kubera;20;7;6;4;0.1891891891891892
Lukáš Tůma;3;0;0;1;0.0
Bořivoj Šarapatka;6;0;0;0;0.0
Stanislav Mackovík;7;2;5;3;0.11764705882352941
Petr  Navrátil;6;3;1;2;0.25
Pavol Lukša;3;0;0;1;0.0
Přemysl Sobotka;26;5;5;6;0.11904761904761904
